title,author,price
 正版 机器人系统(原书第2版) 扩展新主题协作机器人、移动机器人和类人机器人人工智能计算机类书籍 机械工业出版社,机械工业出版社,¥78.00
" Excel在大数据挖掘中的应用 谢邦昌,朱建平,王小燕 著 经济理论、法规 经管、励志 厦门大学出版社 计算机类书籍 大",厦门大学出版社,¥70.00
 正版 数据结构：微课版 第3版第三版 李筠 出版社 计算机类数据结构高等职业教育教材 2021新书 计算机类书籍,李筠,¥66.31
 深度学习 智能时代的核心驱动力量 特伦斯·谢诺夫斯基著 你了解人工智能井喷式发展真相 计算机类书籍 正版,特伦斯谢诺夫斯基,¥94.60
" 【正版速发】Excel在大数据挖掘中的应用 谢邦昌,朱建平,王小燕 著 经济理论、法规 经管、励志 厦门大学出版社 计算",厦门大学出版社,¥71.00
 Windows Server 2012网络管理项目实训教程 褚建立 书店 计算机类书籍,其他,¥34.00
 3ds Max 2018从入门到精通 3ds Max 2018教程书籍基础知识 大学教材 计算机类书籍 室内设计 计算机,唐茜 耿晓武,¥76.70
 Kubernetes权威指南:企业级容器云实战+生产化实践之路+从Docker到Kubernetes实践全接触(第5版),孟凡杰等,¥392.00
 深度学习 智能时代的核心驱动力量 特伦斯·谢诺夫斯基著 你了解人工智能井喷式发展真相 计算机类书籍 社书籍,特伦斯谢诺夫斯基,¥102.00
 Office 2010案例教程 杨彩云编著 电子工业出版社 中职教材书籍 计算机类书籍 9787121248856,杨彩云,¥28.50
 C语言程序设计 林生佑 C语言基础语法 程序设计 计算机类书籍 C语言基本语法编程基础 电子工业正版全新,电子工业出版社,¥46.50
 正版 机器人系统(原书第2版) 扩展新主题协作机器人、移动机器人和类人机器人人工智能计算机类书籍 机械工业出版社,马塔伊·米赫尔等,¥70.00
 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍 书 畅想书 9787115439369,不详,¥49.00
 施耐德EcoStruxure Machine控制器应用及编程进阶?李幼涵编著 计算机类书籍,机械工业出版社,¥65.90
 正版 数据结构：微课版 第3版第三版 李筠 出版社 计算机类数据结构高等职业教育教材 2021新书 计算机类书籍,李筠,¥68.53
 正版 新编计算机文化基础教程(Windows 7+Office 2010版)-第4版 靳敏 书店 计算机类书籍,不详,¥35.96
 【认准正版 量大优惠】【2023新书】Android开发基础与案例实战 Java版 微课视频版 童长飞 高等学校计算机类,人民邮电出版社,¥58.00
 数据库技术与应用教程+应用实践教程-Acce 2013 第二版 李雨孙末 数据库表查询语言SQLVA编程重难点详讲书 计,中国统计出版社,¥68.60
 正版 机器人系统(原书第2版) 扩展新主题协作机器人、移动机器人和类人机器人人工智能计算机类书籍 机械工业出版社,马塔伊·米赫尔等,¥76.73
 正版 新编计算机文化基础教程(Windows 7+Office 2010版)-第4版 靳敏 书店 计算机类书籍,不详,¥20.00
 正版 机器人系统(原书第2版) 扩展新主题协作机器人、移动机器人和类人机器人人工智能计算机类书籍 机械工业出版社,机械工业出版社,¥72.00
 JavaScript程序设计基础与范例教程 书店 曹维明 计算机类书籍 书 畅想畅销书任选备注,其他,¥52.00
 Java EE SSH框架应用开发项目教程 彭之军 书店 计算机类书籍,其他,¥33.00
 AutoCAD 2014建筑设计案例教程 书店 张宪立 计算机类书籍 书 畅想畅销书,其他,¥37.40
" Excel在大数据挖掘中的应用 谢邦昌,朱建平,王小燕 著 经济理论、法规 经管、励志 厦门大学出版社 计算机类书籍 大",厦门大学出版社,¥74.00
 正版 Adobe Premiere Pro CS6影视编辑设计与制作案例技能实训教程 李明刘悦赵毅飞 书店 计算机类书籍,其他,¥50.00
 【2022新版】Java语言面向对象程序设计 第3版 第三版 微课视频版 马俊 曾述宾 高等学校计算机类书籍 清华大学,清华大学出版社,¥66.90
 深度学习 智能时代的核心驱动力量 特伦斯·谢诺夫斯基著 你了解人工智能井喷式发展真相 计算机类书籍 正版,特伦斯谢诺夫斯基,¥93.63
 【任选】 机器人系统(原书第2版) 扩展新主题协作机器人、移动机器人和类人机器人人工智能计算机类书籍 机械工业出版社,机械工业出版社,¥60.00
" E在数据挖掘中的应用 谢邦昌,朱建平,王小燕 经济理论、法规 经管、励志 厦门学出版社 计算机类书籍 数据丛书",厦门大学出版社,¥74.00
 【直发】Linux操作系统与服务配置 &ldquo;十三五&rdquo;高等职业教育规划教材 中国铁道出版社 严学军著,不详,¥63.75
 正版 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍 书 畅想,不详,¥55.00
 正版 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍 书 畅想畅销书,不详,¥56.00
 正版 机器人系统(原书第2版) 扩展新主题协作机器人、移动机器人和类人机器人人工智能计算机类书籍 机械工业出版社,机械工业出版社,¥73.76
 正版 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍 书 畅想畅销书,不详,¥56.00
 正版 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍 书 畅想书,其他,¥63.99
 Java EE H框架应用开发项目教程 彭之军 书店 计算机类书籍,其他,¥38.00
 人工智能书籍四本：深度学习（deep learning）+深度学习系统+深度学习与目标检测+神经网络与深度学习 计算机类,机械工业出版社,¥529.92
 人工智能书籍四本：深度学习（deep learning）+深度学习系统+深度学习与目标检测+神经网络与深度学习 计算机类,机械工业出版社,¥510.71
 计算机视觉增强现实美术内容设计,蒋斌 付旭耀,¥44.20
 中文版Autodesk Revit Architecture 2022从入门到精通 bim教材教程 revit教程书籍,天工在线,¥82.80
 ASPNET开发技术 朱珍 计算机类 书籍【可开电子发票】,其他,¥50.99
 JSP程序设计教程-项目式 李桂玲 计算机类 书籍,不详,¥45.90
 正版 Excel在工程中的应用 苏建林 计算机类 书籍,人民交通出版社股份有限公司,¥36.00
 JSP程序设计教程-项目式 李桂玲 计算机类 书籍,不详,¥48.81
 AVR单片机与小型机器人制作-第2版 彭建盛 计算机类 书籍,其他,¥35.90
 响应式动态网站项目开发-(jQuery+PHP+MySQL+Apache) 高和蓓 计算机类 书籍,不详,¥32.00
 JSP程序设计教程-项目式 李桂玲 计算机类 书籍,其他,¥36.70
 正版 Excel在工程中的应用 苏建林 计算机类 书籍,人民交通出,¥36.00
 计算机控制技术 朱玉玺 书店 法律类书籍,其他,¥44.00
 计算机组成与体系结构(原书第4版) 计算机网络程序设计类书籍 机械工业出版社凤凰新华书店旗舰店正版书籍,机械工业出版社,¥121.00
 计算机组成与体系结构(原书第4版) 计算机网络程序设计类书籍 机械工业凤凰书籍 9787111616368,机械工业出版社,¥123.25
 正版书籍 高等学校计算机类特色教材：数字媒体应用技术 无 电子工业,电子工业出版社,¥44.27
 正版书籍 高职高专计算机类专业教材·软件开发系列：Python程序设计案例教程 无 电子工业,电子工业出版社,¥40.66
 正版书籍 高职高专计算机类专业教材·网络开发系列：Web编程基础（HTML+CSS）项目实战教程 无 电子工业,电子工业出版社,¥52.40
 【台版《莎士比亚超图解 解构17出经典剧作 上一堂好玩的莎翁课》 剧解析 戏剧入门艺术类书籍 计算机人,凱若琳．吉約(Caroline,¥129.00
